Edad,Sexo,1. Siento que mi padre raras veces me...,Clasificación I1,2. Cuando tengo mala suerte...,Clasificación I2,3. Siempre anhelé...,Clasificación I3,4. Si yo estuviera a cargo...,Clasificación I4,5. El futuro me parece...,Clasificación I5,6. Las personas que tienen una posición superior a mí...,Clasificación I6,"7. Sé que es tonto, pero tengo miedo de...",Clasificación I7,8. Creo que un verdadero amigo...,Clsificación I8,9. Cuando era niño(a)...,Clasificación I9,10. Mi idea de mujer (hombre) perfecta(o)...,Clasificación I10,11. Cuando veo a un hombre y a una mujer juntos...,Clasificación I11,"12. Comparando las demás familias, la mía...",Clasificación I12,13. En las acciones que implican trabajo me llevo mejor con...,Clasificación I13,14. Mi madre...,Clasificación I14,15. Haría cualquier cosa por olvidar la vez que...,Clasificación I15,16. Si mi padre tan solo...,Clasificación I16,17. Siento que tengo habilidades para...,Clasificación I17,18. Sería perfectamente feliz si...,Clasificación I18,19. Si la gente trabajara para mí...,Clasificación I19,20. Yo espero...,Clasificación 20,"21. En el colegio, mis profesores...",Clasificación I21,22. La mayoría de mis amistades no saben que tengo miedo de...,Clasificación I22,23. No me gusta...,Clasificación I23,24. Antes...,Clasificación I24,25. Pienso que la mayoría de los muchachos(as)...,Clasificación I25,26. Yo creo que la vida matrimonial...,Clasificación I26,27. Mi familia me trata como...,Clasificación I27,28. Aquellos con los que trabajo...,Clasificación I28,29. Mi madre y yo...,Clasificación I29,30. Mi más grande error fue...,Clasificación I30,31. Desearía que mi padre...,Clasificación I31,32. Mi mayor debilidad...,Clasificación I32,33. Mi ambición secreta en la vida...,Clasificación I33,34. La gente que trabaja para mí...,Clasificación I34,35. Algún día yo...,Clasificación I35,36. Cuando veo al jefe venir...,Clasificación I36,37. Quisiera perder el miedo de...,Clasificación I37,38. La gente que más me agrada...,Clasificación I38,39. Si fuera joven otra vez...,Clasificación I39,40. Creo que la mayoría de las mujeres (hombres)...,Clasificación I40,41. Si tuviera relaciones sexuales...,Clasificación I41,42. La mayoría de las familias que conozco...,Clasificación I42,43. Me gusta trabajar con la gente que...,Clasificación I43,44. Creo que la mayoría de las madres...,Clasificación I44,45. Cuando era más joven me sentía culpable de...,Clasificación I45,46. Siento que mi padre es...,Clasificación I46,47. Cuando la suerte se vuelve en contra mía...,Clasificación I47,"48. Cuando doy órdenes, yo...",Clasificación I48,49. Lo que más deseo en la vida es...,Clasificación I49,50. Dentro de algún tiempo...,Clasificación I50,51. La gente a quien yo considero mis superiores...,Clasificación I51,52. Mis temores en ocasiones me obligan a...,Clasificación I52,"53. Cuando no estoy, mis amigos...",Clasificación I53,54. Mi más vívido recuerdo de la infancia...,Clasificación I54,55. Lo que menos me gusta de los hombres (mujeres)...,Clasificación I55,56. Mi vida sexual...,Clasificación I56,57. Cuando era niño(a)...,Clasificación I57,"58. La gente que trabaja conmigo, generalmente...",Clasificación I58,"59. Me agrada mi madre, pero...",Clasificación I59,60. La peor cosa que he hecho...,Clasificación I60
39,Femenino.,Consiente ,Negativo,No creo en mala suerte ,Neutro,Casarme,Negativo,De una empresa ,Neutro,Incierto ,Ambiguo,"Las veo igual a mí, no tengo prejuicios",Positivo,Quedarme solterona,Negativo,Quién no te crítica ,Ambiguo,Me gustaba bailar,Positivo,Cristo Jesús ,Neutro,Me recuerda la creación perfecta ,Ambiguo,Es perfecta,Negativo,Todos,Positivo,Es mi amor,Positivo,Fui ultrajada,Negativo,Viviera,Negativo,Seguir creciendo en espíritu y conocimiento ,Positivo,Cristo volviera,Negativo,Serían bien instruidos,Positivo,Ir al cielo,Positivo,Eran muy buenos instructores,Positivo,La oscuridad ,Positivo,Que me juzguen sin conocerme ,Positivo,Lloraba mucho,Positivo,Deben conocer de Cristo ,Ambiguo,Es la vida que creo Dios para nosotros ,Ambiguo,Una reina ,Positivo,Son excelentes personas,Positivo,Éramos las mejores amigas,Positivo,Idealizar a una persona ,Negativo,Estuviera vivo ,Ambiguo,La comida casera,Positivo,Viajar por el mundo ,Positivo,Es feliz,Positivo,Seré Gerente,Positivo,me alegro ,Positivo,Ser obesa,Positivo,La gente que sonrie,Positivo,No idealizaria,Positivo,Se necesitan,Positivo,Con mi esposo,Ambiguo,Son originales ,Positivo,Sonrie,Positivo,Son luchadoras,Positivo,De ser bajita,Negativo,Mi ayudador,Positivo,No creo en la suerte,Neutro,Soy escuchada,Positivo,Mi felicidad y la de mi familia ,Positivo,Volveré a mí casa,Ambiguo,Son los adultos mayores,Ambiguo,Esforzarme más ,Positivo,Me buscan,Positivo,Salir de viaje con mi mamá ,Positivo,La falta de palabra ,Negativo,Tranquila y feliz ,Positivo,Me gustaba bailar ,Positivo,Sonrie y es Feliz ,Positivo,No hay peros la amo...,Positivo,Pecar contra DIOS.,Negativo
26,Masculino.,ignora,Positivo,suelo estresarme,Negativo,aprovechar mas el tiempo,Negativo,haría siempre lo mejor,Positivo,determinante en base a las decisiones del presente,Ambiguo,son mis maestros,Positivo,no ser profesional ,Negativo,"es leal, honesto y fiel.",Positivo,"era muy independiente, y envidiaba todo",Negativo,"Es alguien que desee progresar, iniciativa, determinacion que comprenda el valor de tiempo.",Positivo,pienso en todo el proceso de adaptacion personal y cambios interno para beneficio de ambos,Positivo,"es invidualista, pero tambien son un gran apoyo en ciertos momentos",Positivo,el tipo que sea administrativo y requiere mas análisis ,Neutro,es alguien sumamente fuerte e independiente emocionalmente ,Positivo,agredí brutalmente a mi primo ,Negativo,"tuviese trabajo, estuviese mas tranquilo",Positivo,"liderar, administrar, organizar, asistir.",Positivo,viviera en un pueblo y tuviese un finca.,Positivo,crecerían en todas las áreas necesarias para avanzar ,Positivo,ser un profesional.,Positivo,"eran increibles, tenia fidelidad con todos.",Positivo,que me traicionen,Ambiguo,"el engaño, o alguien que hable demasiado de manera mediocre",Negativo,me tomaba todo personal ,Positivo,pueden ser mejores personas,Positivo,se puede complementar perfectamente si se trabaja en equipo.,Positivo,alguien que no tiene sentimientos.,Negativo,son leales a mi amistad y se preocupan por mi,Positivo,tenemos poca comunicacion,Negativo,no aprovechar una oportunidad universitaria,Negativo,tuviese mejor salud y un trabajo,Positivo,es la gente que amo,Positivo,es ser millonario.,Positivo,deben ser leales,Ambiguo,seré un gran profesional,Positivo,demuestro mas seguridad y no me dejo intimidar,Positivo,el futuro,Ambiguo,es la ambiciosa e inteligente ,Positivo,estudiaría mas cursos ,Positivo,complementan la sociedad. bien o mal influyen en algo en mi vida.,Positivo,seria muy ingenioso ,Ambiguo,"son adineradas, y profesionales",Neutro,"es ambiciosa, comprometida  y fiel",Positivo,son personas para respetar y agradecer.,Positivo,no ser mas disciplinado,Negativo,un personaje de apoyo.,Positivo,persisto en cambiar para mejores resultados,Positivo,empatizo con cada personalidad,Positivo,ser profesional ,Positivo,tendre un negocio inmobiliario ,Positivo,los veo con respeto ,Positivo,tomar decisiones por impulso,Negativo,se preocupan por mi,Positivo,era cuando veia a mi padre ,Ambiguo,es la arrogancia,Negativo,"es delicada, y selectiva, super reservada",Positivo,inventaba muchas cosas,Ambiguo,aprende y copia mi personalidad ,Ambiguo,es imprudente con sus comentarios,Negativo,fue cuando robe del diezmo de una iglesia,Negativo
51,Femenino.,No me quiere,Negativo,Es triste,Negativo,Estudiar,Negativo,Mis nietos ,Neutro,Incierto ,Ambiguo,Me tratan bien ,Positivo,Perder un hijo o a mi madre,Negativo,Es la persona más leal,Positivo,Fui maltratada,Negativo,Ser buena madre,Positivo,Felicidad,Positivo,Es unida ,Positivo,Con todos ,Positivo,Es un tesoro ,Positivo,El abuso que sufrí en mi niñez,Negativo,Hubiera estado ,Negativo,La cocina,Positivo,Si estuviera mi esposo,Negativo,Estarían bien,Positivo,Que todos los días fueran felices,Negativo,Fueron exigentes,Ambiguo,De perder a mi madre,Negativo,La injusticia ,Positivo,De estar mis hijos,Neutro,Lo quieren todo facil,Negativo,Es desechable ,Negativo,Me lo merezco ,Ambiguo,Son eficientes,Positivo,No hubo una relación ,Negativo,No valorar mi juventud ,Negativo,Estuviera ,Ambiguo,Mi miedo,Positivo,Tener dinero ,Positivo,Son felices,Positivo,Morire,Ambiguo,No pasa nada,Neutro,De perder vel miedo ,Positivo,Cuando están unidas,Neutro,Aprovecharía el tiempo ,Positivo,Son infelices ,Negativo,No pasa nada,Neutro,Tiene problemas ,Ambiguo,Que es activa,Positivo,Aman a sus hijos,Positivo,Mi situación ,Ambiguo,Irresponsable ,Negativo,Hay tristeza ,Ambiguo,No me siento bien,Negativo,Ser feliz,Ambiguo,Cumpliré mis metas ,Positivo,Me gustaría que fueran más humildes ,Ambiguo,Llorar,Negativo,Me llaman,Positivo,Cuando jugaba con mis amigos,Positivo,El machismo,Negativo,No hay vida sexual ,Negativo,Hubieron tiempos tristes,Negativo,Conmigo está bien ,Positivo,Tiene mal temperamento,Negativo,No valorarme ,Negativo
23,Masculino.,Me nada,Neutro,Depende,Neutro,Siempre hay que tener esfuerzo para anhelar,Neutro,Probablemente nada aun,Neutro,Hay que esperar que llegue,Ambiguo,Todo por igual,Positivo,A Jehová ,Ambiguo,Solo hay uno,Negativo,Estaba bien,Positivo,No,Neutro,No pasa nada,Neutro,Bien,Neutro,Conmigo mismo,Negativo,Es mi vida,Positivo,Que nada ,Neutro,No esta,Neutro,Depende ,Neutro,Si hay vida siempre hay que estar feliz,Negativo,No la hay,Neutro,Nada,Negativo,Fueron bien,Positivo,Nada,Positivo,Depende de mis gustos,Neutro,Nada,Neutro,No se no la pienso,Neutro,Es sagrado,Positivo,Bien,Positivo,Super bien,Neutro,Excelente bien,Positivo,No hay error,Negativo,Esta bien asi,Neutro,Es secreto,Neutro,No hay,Neutro,Otra vez,Neutro,Algun dia no hay que vivir el momento ,Ambiguo,Normal ,Neutro,Nada,Neutro,Depende,Neutro,Siempre estoy,Neutro,Bien,Neutro,Secreto,Ambiguo,Bien,Neutro,Que ayude,Positivo,Son madres y ya,Neutro,De nada,Neutro,Es bien,Positivo,No hay suerte,Neutro,No doy ordenes ,Neutro,Es nada ,Neutro,Momento,Neutro,Normal,Neutro,A nada,Neutro,No hay amigos ,Negativo,Colegio,Neutro,Todo bien,Neutro,Secreta,Ambiguo,Estaba bien como ahora,Positivo,Esta bien,Positivo,Siempre agrada,Positivo,Nada,Neutro
22,Masculino.,Entiende ,Negativo,Me rio,Ambiguo,Una moto ,Positivo,Todo sería distinto ,Neutro,Peligroso,Negativo,Espero hagan las cosas bien ,Positivo,Ponerme más viejo ,Negativo,Te habla con franqueza ,Positivo,Todo fue muy fácil ,Positivo,No existe ,Negativo,Suelo pensar en como debe ser su relación en realidad ,Ambiguo,Es más pacífica ,Positivo,Mujeres ,Ambiguo,Es mi ejemplo a seguir ,Positivo,Envié ese mensaje ,Negativo,Se atreviera a hacer las cosas diferentes ,Ambiguo,Hacer cualquier cosa que se me pida ,Negativo,Tuviera libertad económica ,Positivo,Sería el mejor jefe ,Ambiguo,Que todo salga bien ,Negativo,Solían llamarme por mi apellido ,Negativo,Fracasar ,Positivo,La sandía ,Neutro,Todo era más simple ,Ambiguo,Tienen falta de carácter ,Negativo,Es un gran paso ,Positivo,Alguien muy importante ,Positivo,Suelen ser muy distraídos ,Negativo,Tenemos muchas cosas en común ,Positivo,Aceptar eso ,Ambiguo,Viva un poco mas ,Positivo,Son los helados ,Neutro,Es ser piloto y baterista ,Positivo,Es muy obediente ,Ambiguo,Tendré mi propia empresa ,Positivo,Lo miro fijamente ,Neutro,Decir todo lo que pienso ,Positivo,Siempre está muy lejos ,Negativo,Habría hecho muchas más cosas ,Positivo,Mienten ,Negativo,Las disfrutaría ,Positivo,Son disfuncionales ,Negativo,Sabe lo que tiene que hacer ,Ambiguo ,Les duele ver crecer a sus hijos ,Positivo,Que mi padre se hubiera ido ,Negativo,Mentiroso,Negativo,Suelo reírme ,Positivo,Se obedece ,Neutro,Ser profesional ,Positivo,Tendré mi esposa ,Ambiguo,Son personas excepcionales ,Positivo,Hacer silencio ,Negativo,Tampoco están ,Negativo ,Es aprender a manejar bicicleta ,Positivo,La feminidad ,Negativo,Es buena ,Positivo,Era más gordito ,Ambiguo,Están satisfechos ,Positivo,Es muy exagerada,Negativo,Un par de mentiras que no debí decir ,Negativo
25,Femenino.,Habla de cosas de su vida,Negativo,Me pongo triste,Negativo,Encontrar un objetivo de vida,Negativo,Analizaría mas,Positivo,Ansioso,Negativo,Me intimidan,Negativo,No encontrar un objetivo ,Negativo,Escucha apoya e impulsa,Positivo,Era muy feliz ,Positivo,Alguien que impulsa y acompaña,Positivo,Pienso en que ojalá se lleven muy bien independientemente de que sean pareja o no,Positivo,Es bastante funcional ,Positivo,Cosas administrativas ,Neutro,La amo,Positivo,Me rompieron el corazón ,Negativo,Fuera más racional ,Negativo,Artes mixtas,Positivo,Pudiera dedicarme a algo que de verdad me guste y de un propósito ,Negativo,...,Neutro,Salir adelante y autosuperarme,Positivo,Eran super,Positivo,La soledad,Positivo,La soledad,Negativo,...,Neutro,Son muy superficiales,Negativo,Es complicada,Negativo,La mejor,Positivo,Tienen sus propios problemas,Negativo,Nos amamos,Positivo,No seguir mi presentimiento ,Ambiguo,Se mejore,Positivo,Sobrepensar,Negativo,Viajar y cambiar de país ,Positivo,....,Neutro,Seré feliz ,Ambiguo,Me pongo alerta,Negativo,Fracasar y volver a intentar ,Positivo,Es la tranquila y animada ,Positivo,...,Neutro,Son superficiales ,Negativo,Me protegería,Positivo,Son disfuncionales,Negativo,Ayuda y no es problemática ,Ambiguo ,No escuchan,Negativo,Nada,Neutro,El mejor que pudo ser,Positivo,Me da ansiedad ,Ambiguo,Trato de ser amable ,Positivo,Autosuperarme ,Positivo,Iré mejorando ,Positivo,Me inspiran,Positivo,Estancarme,Negativo,Hablan mal de mi,Negativo ,Mi familia junta y con salud ,Positivo,....,Neutro,Es regular ,Ambiguo,...,Neutro,...,Neutro,A veces no se deja hablar,Negativo,Es no poner límites ,Negativo
24,Femenino.,Habla,Negativo,Lloro,Ambiguo,Tener una familia unida ,Negativo,Todo estaria a tiempo,Positivo,Incierto,Ambiguo,Me son ejemplo ,Positivo,Los abrazos ,Negativo,Siempre comprende ,Negativo,Debi ser feliz ,Negativo,En su vida este Dios ,Positivo,Me da orgullo ,Ambiguo,Es una porqueria ,Negativo,El orden ,Ambiguo,Es una berraca. ,Positivo,Abusaron de mi ,Negativo,Me diera atención ,Negativo,Cuidar el cutis ,Positivo,Mi mente eliminara recuerdos ,Negativo,Sería una jefa feliz,Positivo,Obtener lo que he querido ,Ambiguo,Eran buenos ,Positivo,Las culebras ,Negativo,Cuando hay mucha bulla  ,Ambiguo,Debi comprender muchas cosas ,Positivo,Deben soltar sus celulares y leér libros fisicos.,Ambiguo,Es un privilegio ,Positivo,Nace de sus corazónes ,Ambiguo,Son buenas personas ,Positivo,Tenemos buena relación,Positivo,No comprender lo que sucedia ,Ambiguo,Cumpliera su rol ,Negativo,Mis hermanos,Positivo,Tener animales y una finca ,Positivo,No existe ,Neutro,Sere la viejita de las matas ,Ambiguo,Que llegue ,Negativo,Socializar ,Positivo,Es la que toma iniciativa de conversa ,Positivo,Hablaria todo lo que me paso ,Positivo,No son conformes ,Negativo,Que rico ,Positivo,No son unidas ,Negativo,Es puntual y empática ,Positivo,Sufren ,Positivo,Callar la violencia ,Negativo,Sin palabras ,Neutro,"Doy gracias a Dios, mejores cosas han de venir ",Positivo,Tengo miedo,Negativo,Olvidar cosas ,Negativo,Estare mejor ,Positivo,Los respeto,Positivo,Llorar y ser más callada ,Negativo,Ni me pelan ,Negativo ,Mi mamá sufriendo ,Negativo,Su forma de pensar hoy en dia ,Ambiguo,Tranquila ,Positivo,Sin palabras ,Neutro,Ta bien,Positivo,Hay cosas que mejorar ,Ambiguo,Intentar desvivirme ,Negativo
41,Masculino.,Propuso jugar,Negativo,Es porque Dios no lo puse en primer lugar,Negativo,Ser el mejor,Negativo,Daría lo mejor de mi,Positivo,Incierto,Ambiguo,Me observan,Negativo,Morir,Positivo,Lo respeta ,Positivo,Jugaba,Positivo,Ser como soy,Negativo,No los envidio,Positivo,Igual,Neutro,Mi esfuerzo ,Negativo,Lo mejor,Positivo,No me arriesgué,Ambiguo ,Me hubiese llamado,Negativo,Todo,Negativo,Pudiera darle mejor vida a mi familia,Positivo,Yo daría ejemplo,Positivo,Recibir lo que doy,Positivo,Me admiraban ,Positivo,Perder Ami madre,Positivo,Las mentiras ,Neutro ,Pasado,Neutro,No quieren ser alguien en la vida,Negativo,Es un compromiso para toda la vida,Positivo,Todo un caballero,Positivo,Me apoyan,Positivo,Somos uno,Ambiguo,No aprovechar oportunidades ,Negativo,Estuviera vivo,Ambiguo,Mi hija,Positivo,Tener mucho dinero,Positivo,Un ejemplo,Neutro,Sere lo mejor de mi,Positivo,Lo saludo,Positivo,Morir,Ambiguo,Están a mi lado,Positivo,Aprovecharía el tiempo,Positivo,Luchan por un ideal,Positivo,Con prevención ,Positivo,Son felices,Positivo,Me apoya,Positivo,Dan lo mejor de ellas,Positivo,No aprovechar el tiempo,Positivo,Fue irresponsable ,Negativo,Le pidió a Dios,Ambiguo,Lo digo con autoridad ,Positivo,Tener tiempo para la familia,Positivo,Me pensiono ,Positivo,Los respeto,Positivo,Esforzarme,Positivo,Me llaman,Positivo,Nadar,Neutro,Viven por vivir,Ambiguo,Con suavena,Ambiguo,quería ser grande,Ambiguo,Obedecen,Negativo,Se fue,Negativo,Estar de relax ,Ambiguo
24,Masculino.,Motiva a hacer cosas innovadoras que me puedan beneficiar a futuro ,Negativo,Suelo estar deprimido ,Negativo,"Estudiar una carrera profesional, siento que la vida es un poco injusta ",Negativo,Creo que me costaría estar en ese papel ,Negativo,Incierto ,Ambiguo,Los admiro y me dan consejos ,Positivo,Ser un fracasado ,Negativo,A veces pensamos que un verdadero amigo debe estar en todo momento y no es así ,Ambiguo,Sentía que las cosas de la vida eran tan fácil de obtener ,Positivo,Los valores de cada persona sea mujer o sea hombre ,Positivo,No me causa impresión ,Neutro,Tenemos mucha empatía ,Positivo,Saray prioló castro ,Positivo,Es una Reina ,Positivo,Se accidentó mi novia.,Negativo,Fuera un poco más cariñoso conmigo ,Negativo,Manejo de herramientas ofimáticas ,Positivo,Tuviera un trabajo fijo y fuera un poquito más independiente ,Positivo,No me veo como un jefe ,Ambiguo ,Que la vida algún día se dé cuenta de que he sufrido y he pasado por tantas cosas que ya merezco algo mejor ,Negativo,Todos eran muy buenos docentes,Positivo,Ser independiente ,Positivo,"Salir a fiestas, tomar alcohol y el desorden ",Ambiguo,De un accidente que tuve pienso que pude tener oportunidades de conseguir trabajo y ya llevara tiempo trabajando en aquello que estuve a punto de hacer ,Negativo,No les gusta estudiar ,Negativo,Puede ser un poco difícil por lo que ya tienes más responsabilidades ,Positivo,"A veces siento que me regañan por todo, a veces me tratan bien y así ",Negativo,Suelen ser muy divertidos ,Positivo,Hemos pasado por tantas cosas juntos ,Ambiguo,"Pensar que estudiar no era bueno y todo lo contrario, tarde comprendí que es lo mejor que uno como ser humano puede y debe hacer ",Negativo,Cambiará la forma de tratarme o de decirme las cosas ,Negativo,"Mi cerebro, pienso muchas tonterías y quiero Cambiar mucho en esa parte ",Negativo,"Antes no tenía ese pensamiento de ambición, pero ahora que ya soy adulto me gustaría tener varias cabezas de ganado o una casa propia ",Positivo,No tengo trabajadores ,Neutro,"Quisiera que ya la vida de la vuelta y cambiar muchas cosas en mí, la forma de ver la vida.",Negativo,Me da un poco de nervios ,Negativo,Hablar en público ,Positivo,"Personas cencillas, humildes y tratables ",Positivo,Me gustaría cambiar la forma de pensar ,Ambiguo,Tienen un autoestima muy grande ,Positivo,El tener relaciones sexuales me tiene el cerebro enfermo.,Negativo,La mayoría son muy amables ,Positivo,Me ayude a crecer a nivel personal y laboral ,Positivo,No le ponen mayor cuidado a los hijos ,Negativo,No querer estudiar ,Negativo,A veces es un poco grosero cuando yo solamente le pregunto algo ,Negativo,Me va mal en todo lo que quiero hacer ,Negativo,No soy jefe ,Neutro,"Poder ser independiente, tener un hogar, una familia etc",Positivo,Espero que ya las cosas sean diferentes ,Ambiguo,"Mi jefe, mi mamá,.mi papá, mi hermana mayor y cualquier persona que me hable con respeto o sea mayor que mi persona ",Positivo,Tener mayor confianza en mi mismo ,Positivo,Salen a disfrutar siempre ,Negativo ,"Recuerdo que solía montar caballo con mi papá todos los días, aunquee regañaba siempre",Ambiguo,La forma de tratar a las demás ,Ambiguo,"Se ha convertido en un caos total, siento que mi cerebro está un poco afectado por esa parte ",Negativo,No me gustaba la escuela ,Negativo,No soy empleador ,Neutro,A veces me molestan sus actitudes ,Negativo,Querer engañar a mi novia y ahora sé que esa niña ha sido tan linda conmigo ,Negativo
19,Femenino.,Llaman por teléfono ,Negativo,Dios está conmigo,Positivo,Ser militar,Negativo,Trataria de hacerlo mejor,Positivo,Algo misterioso,Ambiguo,Se esforzaron por estar ahí ,Positivo,Un accidente ,Positivo,Nunca falla,Negativo,Me daba miedo la oscuridad ,Negativo,Es que sea religiosa ,Positivo,Me alegro por ellos ,Positivo,Es unica y especial ,Positivo,Mi esposo,Positivo,Es la mejor de todas ,Positivo,Que me caí  de un árbol,Negativo,"Estuviera cerca de mi, lo aprovecharia al maximo ",Positivo,Enseñar a los niños y adultos ,Positivo,Si llevo una vida espiritual sana,Positivo,Trataria de darles el mejor trato como personas ,Positivo,Lograr ser profesional ,Positivo,Fueron muy ejemplares ,Positivo,Tener un accidente ,Negativo,Que maltraten a las personas ya sea verbal o fisicamente ,Positivo,Era muy tímida ,Positivo,Se dejan llevar por muchas cosas que no contribuyen a su futuro ,Negativo,Es muy bonita si sabemos el verdadero sentido del matrimonio ,Positivo,Princesa ,Positivo,No trabajo,Neutro,Somos super amigas ,Positivo,Decirle un día a mi mamá que no la quería ,Negativo,Estuviera cerca de mi ,Negativo,Es la inseguridad ,Negativo,Darle una casa a mi mamá ,Positivo,No tengo trabajadores ,Neutro,Seré mejor que hoy ,Positivo,Me daban nervios ,Negativo,Expresar mis sentimientos cuando estoy triste,Positivo,Es la que es chevere sin tratar de ofender ni opacar a los demas ,Positivo,Pensaria mejor para tomar una decision ,Positivo,Tenemos un secreto que nadie sabe ,Ambiguo,Me cuidaria con planificacion para no tener un embarazo no deseado ,Positivo,Tienen problemas ,Ambiguo,Le gusta trabajar sin problemas ,Ambiguo ,Han pasado una etapa difícil que las hizo fuertes ,Positivo,Que le pegaran a mi hermana ,Negativo,Distante ,Negativo,No creo en la suerte ,Neutro,Trato de dar ejemplo ,Positivo,Llevar una verdadera vida cristiana ,Positivo,Deseo tener mi propia casa ,Positivo,Los respeto ,Positivo,Quedarme callada ,Negativo,Se preocupan ,Positivo,Cuando jugaba al carrito con mis hermanos ,Positivo,Es que hablen mal de una mujer ,Negativo,Es activa pero llevo conmigo el hecho de ser responsable con mis actos ,Positivo,Le tenía miedo a la oscuridad ,Negativo,No trabajo actualmente ,Neutro,No hay mada mejor que escucharla ,Positivo,Fue pegarle a mi hermano mayor ,Positivo
25,Masculino.,Llama,Negativo,No creo en la suerte ,Neutro,Ser cristiano ,Negativo,Los trataria con respeto,Positivo,Incierto,Ambiguo,Las respeto ,Positivo,A perder la vida eterna ,Negativo,Nunca me abandona ,Negativo,Deseaba ser adulto ,Ambiguo,Es ser como Cristo ,Positivo,Solo los miro y ya ,Positivo,Es la mejor ,Positivo,Con mi esposa ,Positivo ,Es la mejor ,Positivo,Dejé a mi novia ,Ambiguo ,Fuera mas atento ,Negativo,Casi todo ,Negativo,No le fallara a Dios ,Negativo,Les pagaría lo justo y con propina ,Positivo,Ser mejor persona con la ayuda de Dios ,Positivo,Me enseñaron muy bien ,Positivo,Fallarles ,Positivo,Faltar al respeto a alguien ,Positivo,Pensaba q todo seria facil ,Negativo,Le dan mal uso a la tecnología ,Negativo,Es bonita cuando Cristo ocupa el primer lugar ,Positivo,El loco ,Negativo,No estoy trabajando ,Neutro,Nos llevamos muy bien ,Positivo,Apartarme un tiempo de Dios ,Negativo,Fuera mas atento con sus hijos ,Negativo,No orar ,Ambiguo,Darle una casa grande a mi madre ,Positivo,No tengo empresa ,Neutro,Seré esa persona q Dios quiere q sea ,Ambiguo,No estoy trabajando ,Neutro,Estar solo ,Positivo,No quisiera que se fuera ,Negativo,Tomaría mejores decisiones ,Positivo,Necesitan acercarse mas a Dios,Ambiguo,Lo hago con responsabilidad ,Positivo,Pasa casi lo mismo q en la mia ,Neutro,Quiere trabajar ,Positivo,Queren lo mejor para sus hijos ,Positivo,De q le pegaran a mi hermano ,Negativo,Muy distante ,Negativo,No creo en la suerte ,Neutro,Trato de hacer lo de la mejor manera ,Positivo,Agradar a Dios ,Positivo,Tendre con la ayuda de Dios mi propio negocio ,Positivo,Las respeto mucho ,Positivo,Sentirme incapaz,Negativo,Me extrañan ,Positivo,Es jugar futbol con mis primos ,Positivo,Es que digan que no necesitan al hombre,Negativo,Totalmente activa,Positivo,Deseaba ser adulto ,Ambiguo,Me pregunta de donde soy ,Neutro,A veces la hago enojar ,Ambiguo,Es fallarle a Dios ,Negativo
25,Femenino.,Quiere,Negativo,No creo en la suerte ,Neutro,Tener muchos hijos ,Negativo,,Neutro,Incierto ,Ambiguo,Me dan miedo ,Negativo,El futuro ,Ambiguo,"Es leal, y te dice la verdad, no lo que quieres escuchar ",Positivo,Me gustaba mucho ir a piscina con la familia ,Positivo,Que ame a Dios por sobre todas las cosas ,Ambiguo,No pienso nada ,Neutro,Si ,Neutro,Mujeres ,Ambiguo,Me ama ,Positivo,Todas las veces que pase vergüenza ,Negativo,No me hubiera abandonado ,Negativo,Muchas cosas ,Ambiguo,Mi relación con Dios fuera mas cercana ,Positivo,Sería empática ,Positivo,Ser salva ,Positivo,Me agradaban mucho ,Positivo,Perder a mi familia ,Positivo,La gente que se burla de los demás ,Positivo,Estaba más sola ,Positivo,"Sin muy vanidosos, y materialistas ",Negativo,Es difícil pero también es lo más hermoso que un ser humano puede vivir ,Positivo,Una reina ,Positivo,No trabajo ,Neutro,Somos mejores amigas ,Positivo,Perder tiempo con gente que se aprovechaba de mi ,Negativo,Y yo tuviéramos una relación más cercana ,Negativo,"Mi esposo, mi hija ",Positivo,Tener plata ,Positivo,Nadie trabaja para mí ,Neutro,Tendré lo que soñé ,Positivo,"No tengo, pero si tuviera sentiría miedo ",Negativo,Morir ,Ambiguo,Es la que más me demuestra que le importo ,Positivo,Disfrutaría más a mis abuelitos ,Positivo,En esta época son inmaduros ,Negativo,Solo con mi esposo ,Positivo,Se aman mucho ,Positivo,Me enseña sin necesidad de hacerme sentir menos ,Positivo,Son una bendición de Dios ,Positivo,No tener buenas relaciones con amigos ,Negativo,Una persona que perdió mucho tiempo ,Negativo,No creo en la suerte ,Neutro,Espero tener el límite claro sin ser arrogante ,Positivo,"Poder darle una buena vida a mi hija en todos los ámbitos, más en el espiritual ",Positivo,Espero que Dios me bendiga con cada propia ,Positivo,Pienso que es gente muy inteligente ,Positivo,No tomar buenas decisiones ,Negativo,Me extrañan ,Positivo,Mis 15 años ,Ambiguo,La infidelidad ,Negativo,Es muy bonita ,Positivo,Me gustaba salir a jugar ,Positivo,N/R,N/R,Me hubiera gustado no perder tanto tiempo en peleas,Positivo,Mentir ,Negativo
